X,Y,N�,DREN,CODE ETA,ETABLISSEM,COMMUNE,QUARTIER,LATITUDE,LONGITUDE,NATURE ETA,EFFECTIF T,icon_url
-4.1164,5.3426,"503",ABIDJAN 3,"875117",CENTRE D�INITIATION DE PERFECTIONNEMENT EN INFORMATIQUE ET AUX METIERS (CIPIM) YOPOUGON,YOPOUGON,"MORGUE YOP, BOUGOUNISSO",5.342600000000000,-4.116400000000000,TECHNIQUE,"68",./0.png
-4.1024,5.3248,"504",ABIDJAN 3,"58144",COLLEGE PRIVE PROFESSIONNEL ELITE TECHNOLOGIE DE NIANGON,YOPOUGON,NIANGON SUD,5.324800000000000,-4.102400000000000,TECHNIQUE,"73",./0.png
-4.1017,5.3369,"505",ABIDJAN 3,"58145",COLLEGE PRIVE TECHNIQUE ANADOR YOPOUGON,YOPOUGON,YOPOUGON MAROC,5.336900000000000,-4.101700000000000,TECHNIQUE,"116",./0.png
-4.0482,5.3402,"506",ABIDJAN 3,"25016",COLLEGE PRIVE TECHNIQUE JEAN-BAPTISTE DE LA SALLE 2 D'ATTECOUBE,ATECOUBE,MOSSIKRO,5.340200000000000,-4.048200000000000,TECHNIQUE,"24",./0.png
0,0,"507",ABIDJAN 3,"197351",COLLEGE PRIVE TECHNIQUE  SEGBE DE YOPOUGON,YOPOUGON - MAROC,,,,TECHNIQUE,"20",./0.png
-4.0818,5.3442,"508",ABIDJAN 3,"13057",COLLEGE TECHNIQUE SAINT BRICE PROVINCIAL GRACES YOPOUGON,YOPOUGON,YOPOUGON ATTIE,5.344200000000000,-4.081800000000000,TECHNIQUE,"111",./0.png
-4.1002,5.3534,"509",ABIDJAN 3,"10991",ECOLE D�ENSEIG. SECONDAIRE GENERAL TECHN. ET PROF. (EESGTP) LA SORBONNE YOPOUGON,YOPOUGON,ANNANERAIE,5.353400000000000,-4.100200000000000,TECHNIQUE,"140",./0.png
-4.0569,5.3454,"510",ABIDJAN 3,"11411",ECOLE DES TECHNIQUES ET SPECIALITES (ETS) - EDUFOR YOPOUGON,YOPOUGON,"BANCO NORD, RUE PRINCESSE",5.345400000000000,-4.056900000000000,TECHNIQUE,"95",./0.png
-4.0615,5.3417,"511",ABIDJAN 3,"875120",ECOLE SUPERIEURE D�ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL (ESETP) YOPOUGON,YOPOUGON,YOPOUGON COMPLEXE,5.341700000000000,-4.061500000000000,TECHNIQUE,"15",./0.png
-4.0675,5.3428,"512",ABIDJAN 3,"56648",ECOLE TECHNIQUE INFORMATIQUE ET COMMERCIALE  (ETIC) YOPOUGON,YOPOUGON,YOPOUGON SELMER,5.342800000000000,-4.067500000000000,TECHNIQUE,"43",./0.png
